,이름,설명
66,설훈,"농림축산식품해양수산위원회
더불어민주당
경기 부천시 원미구 을 / 4선

교육정책전문가에요.(19대 국회에는 교육문화체육관광위원회 위원장)
엄청난 다독가에요.

고려대 시절 학생운동으로 고문을 받았으나 무혐의 처분을 받았어요.
어린 나이에 정치에 입문해, 동교동계의 막내로 불렸어요.

노무현 대통령 탄핵 때 추미애 의원과 함께 반대 목소리를 냈어요.
‘천안함 폭침은 북한의 소행이 아닐 수 있다‘는 발언 때문에 논란이 있었어요.
"
67,박완주,"농림축산식품해양수산위원회(간사)
더불어민주당
충남 천안시 을,  / 재선

농어촌 발전에 관심이 많아요.

(전)성균관대학교 총학생회 부회장
6월 항쟁 당시 수감된 이력이 있어요.

‘국민무시’ 카톡문자 때문에 논란이 있었어요.
"
68,이만희,"농림축산식품해양수산위원회(간사) 
자유한국당
경북 영천시 청도군 / 초선

경찰공무원(경찰대 출신) 출신

국정조사 당시 이완영 의원과 함께 위증 공모 논란이 있었어요.

가축전염병 예방법을 통과시켰어요.
"
69,황주홍,"농림축산식품해양수산위원회(간사) 
민주평화당
전남 고흥군, 보성군, 장흥군, 강진군 / 초선

민주평화당 정책위원회 의장
2004년 강진군수 출마 이후 3선
20대 국회에서 가장 많은 법안을 발의했어요! (17년 기준 221건)
농어업 관련 법안을 가장 많이 발의했어요.

농어업인, 장애인, 영세소상공인 관련 예산 편성 의무화 법안을 발의했어요.
소방 공무원 증원에 반대했어요.
"
70,김철민,"농림축산식품해양수산위원회
더불어민주당
경기 안산시 상록구 을 / 초선

안산시건축사협회 회장
안산시장 출신
중소기업 육성에 관심이 많아요.

20대 국회 선거 당시 33.3%의 득표율로 당선됬어요.(행운의 사나이!)
"
71,김현권,"농림축산식품해양수산위원회 
더불어민주당
비례대표 / 초선

농업,축산업 전문가에요.
MB정권의 미국산 쇠고기 수입 특혜에 대한 한국 축산업의 개입 의혹을 지속적으로 제기하고 있어요.

베트남 전쟁에서의 양민학살에 대한 우리나라의 공식사과를 주장하고 있어요.

정치인이 되기 이전에 농업에 종사했어요.
고향인 의성에서 쌀,사과 등의 농사와 한우 사육을 했어요.
"
72,도종환,"농림축산식품해양수산위원회
더불어민주당
충북 청주시 흥덕구 / 재선

전직교사이자 시인
(현)문화체육관광부 장관

‘접시꽃 당신‘이라는 시집으로 국민적인 스타시인이 되었어요.

‘문학진흥법’을 통과시켰어요.
"
73,위성곤,"농림축산식품해양수산위원회 
더불어민주당
제주 서귀포시 / 초선

제주대학교 총학생회장
제주도 도의원 출신
20대 국회 선거 당시 사제대결에서 제자로 승리했어요.

2016년 국정감사 평가에서 농해수위에서 가장 우수한 의원으로 선정됬어요.

민주화운동 관련자 명예회복 법안을 발의했어요.
"
74,이개호,"농림축산식품해양수산위원회 
더불어민주당
전남 담양군 함평군 영광군 장성군 / 재선

행정고시 출신
전남에서 당선된 유일한 더불어민주당 의원

전남의 농업 활성화에 힘쓰고 있어요.
농어촌 개발 촉진 법안을 통과시켰어요.
"
75,김성찬,"농림축산식품해양수산위원회
자유한국당
경남 창원시 진해구 / 재선

제 28대 해군참모총장 출신(MB정부)

제1함대사령관 시절, 병사들의 휴대전화 소지허용을 검토한 적이 있어요.(당시 2006년)
국방개혁 2020에 언급된 ‘해병대 병력 감축안’에 반대했어요.

해군참모총장 당시 아덴만 여명 작전을 수행했어요. 
또한 연평도 포격 사건, 천암함 피격사건을 겪었어요.
"
76,김태흠,"농림축산식품해양수산위원회
자유한국당
충남 보령시 서천군 / 재선

세월호 유가족들, 국회 청소노동자들에게 막말을 해 논란이 있었어요.
‘격 있는 식사비는 3만원이 넘는다’라는 발언을 하며 김영란법에 문제를 제기했어요.
손석희 앵커를 명예훼손으로 고소한 적이 있어요.

세월호 선체조사위원회의 설치에 관한 법률을 발의했어요.
"
77,안상수,"농림축산식품해양수산위원회
자유한국당
인천 중구 동구 강화군 옹진군 / 3선

기업가 출신
(전) 인천시장
(현) 자유한국당 정책위원회 부의장

“세월호같은 교통사고에 5천억원을 지출한 나라”라는 말을 해서 논란이 있었어요.

목재제품 안전법, 소금산업진흥법을 통과시켰어요.
"
78,이군현,"농림축산식품해양수산위원회
자유한국당
경남 통영시 고성군 / 4선

중고등학교의 영어교사 출신
KAIST 교수 출신

20대 총선에서 단독후보로 나와 ‘무투표 당선’되었어요.
현재 불법정치자금 수수 혐의로 재판이 진행중이에요.

20대에서 발의한 법안이 3개뿐이에요.
"
13,이양수,"여성가족위원회 / 농림축산식품해양수산위원회
자유한국당
강원 속초시,고성군,양양군 / 1선

입법보좌관으로 활동하다가 정치에 입문했어요.
종합편성채널에서 정치평론가로 활동했어요.
농수산업에 관심이 많아요. 
"
79,이완영,"농림축산식품해양수산위원회 / 정보위원회
자유한국당
경북 고령군 성주군 칠곡군 / 재선

행정고시 출신

성추행 혐의, 뇌물 혐의를 받고 있어요.
정치자금법 위반 혐의로 1심에서 ‘의원직 상실형’을 받았어요.
최순실 게이트 국정조사 당시 18원 후원금을 많이 받았어요.

출퇴근 사고를 산재보험으로 인정하는 법안을 통과시켰어요.
"
80,홍문표,"농림축산식품해양수산위원회
자유한국당
충남 홍성군 예산군  / 3선

자유한국당 사무총장

국민연금의 공매도를 금지하는 국민연금법 개정안을 발의했으나, 무산됬어요.

13대 총선부터 20대 총선까지 전부 출마했어요.
키가 180이 넘어요.
"
81,김종회,"농림축산식품해양수산위원회
민주평화당
전북 김제시 부안군 / 초선

원광대학교 법학과 출신에 한의학 박사 과정 졸업
민주평화통일회의 자문의원

길고양이를 안락사해야 한다는 발언을 해 논란이 있었어요.

학교급식 식재료 안전법을 발의했어요.
"
82,정인화,"농림축산식품해양수산위원회
민주평화당
전남 광양시 곡성군 구례군 / 초선

행정고시 출신

유기동물 안락사 줄이는 ‘동물보호법 개정안’을 발의했어요.
농수산업과 관련한 법을 다수 통과시켰어요.
2018년 대한민국우수국회의원으로 선정됬어요.(한국언론사협회 선정)
"
