,이름,설명,,,,,,,
46,유재중,"행정안전위원회(위원장)
자유한국당
부산 수영구, 3선

1995년부터 시의원, 구청장 등 선거 이력이 많은데 8번의 선거에서 모두 당선되었어요.
부산 수영구에서 18대부터 내리 3선을 하고 있어요.

2012년 총선 과정 중 성추문 논란이 있었으나 항소심에서 무죄를 선고받았어요.
",,,,,,,
47,진선미,"행정안전위원회(간사)
더불어민주당
서울 강동구 갑, 재선

(전) 여성신문 자문위원
(전) 민변 여성인권위원장
(전) 군인권센터 운영위원
(현) 더불어민주당 원내수석부대표

변호사 출신
동료 변호사인 강금실, 이정희 등과 함께 호주제 폐지를 주도한 경험이 있어요.

‘몰카규제법’을 발의했어요.
국정감사에서 몰카를 몰래 설치해서 경찰청장을 놀라게 했어요.
",,,,,,,
48,홍철호,"행정안전위원회(간사)
자유한국당
경기 김포시 을, 재선

국회의원 전에는 닭 가공업체 크레치코의 사장이었어요.
동생인 홍경호 사장은 굽네치킨의 사장이에요!

‘2층버스 국비지원법안’을 상임위에서 통과시켰어요.
",,,,,,,
49,김병관,"행정안전위원회
더불어민주당
경기 성남시 분당구 갑 / 초선

서울대학교 경영학, KAIST 공학석사 
(전) NHN 게임스 대표이사
(전) 웹젠 대표이사
(현) 게임회사 웹젠 이사회 의장
(현) 국회 청년미래특별위원회 간사
(전) 국회 산업통상자원중소벤치기업위원회 위원

게임업계의 큰 손이에요.
국회의원 중 가장 많은 재산(4435억)을 보유하고 있어요.
 
블록체인 컨퍼런스를 개최했어요.
",,,,,,,
50,김영진,"행정안전위원회
더불어민주당
경기 수원시 병, 초선

(전) 중앙대 총학생회장
(현) 더불어민주당 전략기획위원장

1998년부터 국회 인턴과 보좌관으로 활동했어요.
지방재정, 자치분권 전문가에요.
",,,,,,,
51,김영춘,"행정안전위원회
더불어민주당
부산 진구 갑, 3선

20대에 정치를 시작해서 현재 50대이지만 30여년의 정치 경력을 가지고 있어요.
 
(전) 행정안전위원회 위원장
(현) 해양수산부 장관으로 발탁되었어요.

2018년 머니투데이에서 조사한 18개 부처 장관평가에서 종합 1위를 기록했어요.
",,,,,,,
52,김영호,"행정안전위원회
더불어민주당
서울 서대문구 을, 초선

(전) 스포츠투데이 기자
2004년부터 연달아 3번을 낙선하고 2016년 제 20대 국회의원 선거에서 처음으로 당선되었어요.

20대 국회의원 선거에서 선거구의 투표율이 61%를 넘길 경우 홍제천 폭포에 입수하겠다는 공약을 걸었는데 당선 후 실제로 입수했어요.

경찰개혁법, 지하철 환승역 건설 현안 추진 으로 ‘2018 코리아 혁신대상 의정부문 대상’을 수상했어요
",,,,,,,
53,백재현,"행정안전위원회
더불어민주당
경기 광명시 갑, 3선

1991년부터 시의원, 시장 등 선거 이력이 많은데 7번의 선거에서 모두 당선되었어요.
경기 광명시 갑에서 18대부터 내리 3선을 하고 있어요.

최근에 유방확대술 부가세 면제를 통한 출산 장려 법안을 추진했다가 철회했어요.
",,,,,,,
54,소병훈,"행정안전위원회
더불어민주당
경기 광주시 갑, 초선

(전) 출판사 이삭, 산하 대표이사
2000년에 정치에 입문해 2번의 선거 낙선 이후 제 20대 총선에서 처음으로 당선되었어요.

지방공공기관 채용비리 근절법, 의용소방대원 소집수당 현실화 법, 스쿨존 어린이 교통안전 증진 방안 토론회 개최 등 공정하고 평등한 사회 개척에 관심이 많아요.
",,,,,,,
9,이재정,"여성가족위원회 / 행정안전위원회
더불어민주당
비례대표 / 1선

변호사 출신
민주사회를 위한 변호사모임 사무처장

담당 사건 : 나는 꼼수다 공직선거법 위반 사건, 대한민국 육군 대위의 상관 모욕죄 사건, 통합진보당 내란음모 수사 사건, 통합진보당 위헌정당해산

13년 전(2005년) 변호사 취업을 준비하던 시절 검사장 출신의 로펌 대표로부터 성추행 당한 경험을 폭로했어요.

지지자들 사이에서 춤꾼으로 유명해요(https://youtu.be/tFepVMkMfAg)
",,,,,,,
55,표창원,"행정안전위원회
더불어민주당
경기 용인시 정, 초선

경찰대학 교수이자 형사 출신
범죄 전문가, 프로파일러
학자로서도 여러 논문을 내고 저서도 10권이 넘어요.

정치 입문 전에 시사 프로그램 (썰전 , 그것이 알고 싶다, 살인자는 말한다 등)을 통해 인지도가 높은 상태였어요.

탄핵 정국 당시 국회의원들의 탄핵 반대 의사를 담은 ‘표창원리스트’를 공개한 적이 있어요.
의원회관에 ‘박근혜 풍자화‘를 전시해서 논란이 있었어요.

‘데이트폭력 방지법’, ‘조두순법’을 발의했어요.
",,,,,,,
56,강석호,"행정안전위원회
자유한국당
경북 영양군 영덕군 봉화군 울진군, 3선

(전) 학교법인 벽삭학원 이사장
(전) 한서건설 대표이사
(현) 자유한국당 경북도당 공천위원장

작은아버지 신성일이 배우이자 전 국회의원이었어요.

한국전쟁 이후 민간인 희생 진상조사에 대한 법안을 발의했어요.
",,,,,,,
57,박성중,"행정안전위원회
자유한국당
서울 서초구 을, 초선

행정고시 출신
(현) 자유한국당 홍보본부장

교통 경찰 갑질 논란이 있어요.

포털사이트 아웃링크(기사를 누르면 해당 언론사 홈페이지로 넘어가는) 의무화 법안을 발의했어요.
",,,,,,,
58,박순자,"행정안전위원회
자유한국당
경기 안산구 단원구 을, 3선

(전) 1995년 경기도의회 비례대표
(현) 자유한국당 성폭력근절대책위원장
(현) 자유한국당 중앙연수원장

영유아 보호를 위한 ‘실내공기질 관리법’을 발의했어요.
물댄동산작은도서관에 국회 소장도서 500권을 기증했어요.
",,,,,,,
59,유민봉,"행정안전위원회
자유한국당
비례대표, 초선

행정고시 출신
(전) 성균관대학교 행정학과교수
(전) 대통령비서실 국정기획수석
(현) 자유한국당 정책위원회 부의장
인사행정 분야의 권위자에요.

유민봉 의원이 쓴 행정학 기본서가 수험생들에게 인기가 많다고 해요.
‘전자정부법 개정법률안‘을 발의했어요.
",,,,,,,
60,이명수,"행정안전위원회
자유한국당
충남 아산시 갑, 3선

행정고시 출신
(전) 충청남도 행정부지사

18대 국회시절 ‘아청법’을 발의했어요.

실제 재산이 1억이 안되는 몇 안되는 의원이에요.
출판기념회의 수익을 신고하는 유일한 의원이에요",,,,,,,
61,장제원,"행정안전위원회
자유한국당
부산 사상구, 3선

(현) 자유한국당 수석대변인

아버지가 11,12대 국회의원을 하셨어요.
사학재벌 + 정치명문가 집안이에요.

박근혜 전 대통령 탄핵을 주도하며 하태경, 김세연 의원과 함께 개혁보수 정치인으로 주목받았어요.

이후 이후 바른정당을 탈당해 자유한국당으로 복당하였고 수석 대변인까지 되었어요.

“경찰 광견병 걸려”라는 발언으로 경찰의 분노를 산 적이 있어요.

‘스프링쿨러 의무설치법’을 발의했어요.

입꼬리가 내려가 있어, 미소를 지을 때도 입꼬리가 잘 올라가지 않는 편이에요.

별명 : 크롱(뽀로로 캐릭터)
",,,,,,,
62,황영철,"행정안전위원회
자유한국당
강원 홍천군 철원군 화천군 양구군 인제군, 3선

유권자들에게 돈봉투를 나눠준 혐의로 선거비리사범 수사대상에 올라가 재판에 넘겨졌으나 2심에서 70만원의 벌금형을 선고받아 국회의원직을 가까스로 유지했어요.

별명 : 황영철새(2017년부터 1년 동안 탈당과 번복 선언을 4차례나 반복했어요.)

‘산림산업 진흥법’을 통과시켰어요.
",,,,,,,
63,윤재옥,"행정안전위원회
자유한국당
대구 달서구 을, 재선

경찰공무원 출신
(현) 자유한국당 원내수석부대표
(현) 자유한국당 대구광역시당 위원장

‘소방관의 순직은 관서장이나 소방관 자신에게 책임이 있다‘는 발언을 했어요.

‘지진, 화산재해 대책법’을 통과시켰어요.
",,,,,,,
64,권은희,"행정안전위원회(간사)
바른미래당
광주 광산구 을, 재선

경찰 출신
2013년 수사과장 재직시 서울지방경찰청장의 국정원 여론조작사건 수사 축소은폐 지시를 폭로하고 사표를 냈어요.

국정감사에서 소방청 내 사조직 의혹을 제기했어요.

태양의 후예를 패러디한 선거포스터를 냈다가 하루만에 철거했어요.
",,,,,,,
65,이용호,"행정안전위원회
무소속
전북 남원시 임실군 순창군 / 초선

(전) 경향신문정치부 기자로 근무했어요.
(전) 참여정부 국무총리 비서실 공보담당 비서관
(전) YM종합건설 대표이사
(전) 국회 홍보기획관

국민의당 소속이었으나, 바른정당과의 합당 당시 탈당하여 무소속이 되었어요.

‘업무시간외 카톡금지법’을 발의했어요.
",,,,,,,
